id;expiration_date;beer_id;fridge_id
67fcc5b1-6a30-4446-9a08-6fae5e002ca5;2023-04-07;15;1
418b9f72-d1d7-4046-b93b-3556881fa3e5;2023-04-06;15;1
ce12f30b-5af7-42df-ad23-06de64c86973;2023-04-06;15;1
123fd098-83e6-4b03-ab88-abc55c14980b;2023-04-06;15;1
5d2ff52f-ed72-48a9-bad1-0b2853ca31ba;2023-04-06;15;1
8811e213-aaec-469e-9de0-63493d633571;2023-04-07;15;2
712fa98d-4512-4e91-89db-9247bbcd7602;2023-04-06;15;2
2d0aad1a-728c-4475-b10e-e8ba0fe11f2c;2023-04-07;15;2
e2a32e80-ac40-4b38-b97e-0c4c5664246d;2023-04-07;15;2
3aa32036-4797-465e-919f-2d1fd0124b29;2023-04-06;15;2
